,country,province,age,sex,RecoveryRate,Hospitalizations,NonHospitalizations,deceased
274,Cuba,Villa Clara,47.30232558139535,0.4728682170542636,0.0,0.0,0.25,0.0
275,Cuba,province of Havana,28.0,1.0,0.0,0.0,0.25,0.0
276,Czech Republic,Central Bohemian Region,43.52140672782875,0.4740061162079511,0.0,0.0,0.25,0.0
277,Czech Republic,Hradec Kralove,41.5,0.4420289855072464,0.0,0.0,0.25,0.0
278,Czech Republic,Hradec Kralove Region,56.0,1.0,0.0,0.0,0.25,0.0
279,Czech Republic,Karlovy Vary,48.935374149659864,0.47619047619047616,0.0,0.0,0.25,0.0
280,Czech Republic,Karlovy Vary Region,42.857142857142854,0.6428571428571429,0.0,0.0,0.25,0.0
281,Czech Republic,Liberec,47.0650406504065,0.5040650406504065,0.0,0.0,0.25,0.0
282,Czech Republic,Liberec Region,34.0,1.0,0.0,0.0,0.25,0.0
283,Czech Republic,Moravian-Silesian Region,47.64148936170213,0.5180851063829788,0.0,0.0,0.25,0.0
284,Czech Republic,Olomouc,44.05760368663594,0.49078341013824883,0.0,0.0,0.25,0.0
285,Czech Republic,Olomouc Region,48.0,0.42857142857142855,0.0,0.0,0.25,0.0
286,Czech Republic,Pardubice,44.99484536082474,0.4896907216494845,0.0,0.0,0.25,0.0
287,Czech Republic,Pardubice Region,33.666666666666664,0.3333333333333333,0.0,0.0,0.25,0.0
288,Czech Republic,Plzen,46.366336633663366,0.5024752475247525,0.0,0.0,0.25,0.0
289,Czech Republic,Plzen Region,50.36842105263158,0.5263157894736842,0.0,0.0,0.25,0.0
290,Czech Republic,Prague,45.63183673469388,0.5126530612244898,0.0,0.0,0.25,0.0
291,Czech Republic,South Bohemian Region,46.577235772357724,0.42276422764227645,0.0,0.0,0.25,0.0
292,Czech Republic,South Moravian Region,44.391644908616186,0.4804177545691906,0.0,0.0,0.25,0.0
293,Czech Republic,Usti nad Labem,47.84431137724551,0.44610778443113774,0.0,0.0,0.25,0.0
294,Czech Republic,Usti nad Labem Region,50.65,0.45,0.0,0.0,0.25,0.0
295,Czech Republic,Vysocina,43.55038759689923,0.4806201550387597,0.0,0.0,0.25,0.0
296,Czech Republic,Vysocina Region,42.25,0.25,0.0,0.0,0.25,0.0
297,Czech Republic,Zlin,44.04405286343612,0.4889867841409692,0.0,0.0,0.25,0.0
298,Czech Republic,Zlin Region,36.8235294117647,0.47058823529411764,0.0,0.0,0.25,0.0
299,Denmark,Capital Region,40.42857142857143,0.7142857142857143,0.0,0.0,0.25,0.0
300,Denmark,Central Region,31.5,1.0,0.0,0.0,0.25,0.0
301,Denmark,Northern Region,67.0,0.0,0.0,0.0,0.25,0.0
302,Denmark,Southern Region,35.2,0.8,0.0,0.0,0.25,0.0
303,Denmark,Zealand,39.8,0.8,0.0,0.0,0.25,0.0
304,Ecuador,Azuay,42.0,0.6,0.0,0.0,0.25,0.0
305,Ecuador,Bolivar,29.8,0.8,0.0,0.0,0.25,0.0
306,Ecuador,Canar,38.75,0.75,0.0,0.0,0.25,0.0
307,Ecuador,Carchi,40.0,1.0,0.0,0.0,0.25,0.0
308,Ecuador,Chimborazo,23.0,1.0,0.0,0.0,0.25,0.0
309,Ecuador,Cotopaxi,23.0,1.0,0.0,0.0,0.25,0.0
310,Ecuador,El Oro,37.375,0.625,0.0,0.0,0.25,0.0
311,Ecuador,Esmeraldas,67.0,0.0,0.0,0.0,0.25,0.0
312,Ecuador,Galapagos,53.5,0.5,0.0,0.0,0.25,0.0
313,Ecuador,Guayas,48.870370370370374,0.42592592592592593,0.0,0.0,0.25,0.0
314,Ecuador,Imbabura,52.333333333333336,0.3333333333333333,0.0,0.0,0.25,0.0
315,Ecuador,Loja,45.0,0.5,0.0,0.0,0.25,0.0
316,Ecuador,Los Rios,47.4,0.5,0.0,0.0,0.25,0.0
317,Ecuador,Manabi,56.2,0.4,0.0,0.0,0.25,0.0
318,Ecuador,Morona Santiago,74.66666666666667,0.0,0.0,0.0,0.25,0.0
319,Ecuador,Pastaza,90.0,0.0,0.0,0.0,0.25,0.0
320,Ecuador,Pichincha,37.666666666666664,0.6666666666666666,0.0,0.0,0.25,0.0
