,level_0,index,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,CaseFatality_Ratio
122,122,124,Goias,Brazil,2020-09-20 04:22:56,-15.827,-49.8362,182856,4135,172741,5980.0,"Goias, Brazil",2605.3972199179466,2.2613422583891154
123,123,125,Maranhao,Brazil,2020-09-20 04:22:56,-4.9609,-45.2744,167333,3643,157810,5880.0,"Maranhao, Brazil",2365.070236365685,2.177095970310698
124,124,126,Mato Grosso,Brazil,2020-09-20 04:22:56,-12.6819,-56.9211,112242,3214,92468,16560.0,"Mato Grosso, Brazil",3221.2109402129336,2.8634557474029334
125,125,127,Mato Grosso do Sul,Brazil,2020-09-20 04:22:56,-20.7722,-54.7852,63466,1162,56313,5991.0,"Mato Grosso do Sul, Brazil",2283.782645900339,1.830901585100684
126,126,128,Minas Gerais,Brazil,2020-09-20 04:22:56,-18.5122,-44.555,268009,6656,233463,27890.0,"Minas Gerais, Brazil",1266.0571876778415,2.4834986884768795
127,127,129,Para,Brazil,2020-09-20 04:22:56,-1.9981,-54.9306,220205,6451,204728,9026.0,"Para, Brazil",2559.670528364679,2.9295429259099475
128,128,130,Paraiba,Brazil,2020-09-20 04:22:56,-7.24,-36.782,116588,2695,89305,24588.0,"Paraiba, Brazil",2901.550896723772,2.3115586509760866
129,129,131,Parana,Brazil,2020-09-20 04:22:56,-25.2521,-52.0215,163479,4093,114358,45028.0,"Parana, Brazil",1429.7674899424585,2.503685488656035
130,130,132,Pernambuco,Brazil,2020-09-20 04:22:56,-8.8137,-36.9541,141042,8004,122512,10526.0,"Pernambuco, Brazil",1475.786880729462,5.674905347343342
131,131,133,Piaui,Brazil,2020-09-20 04:22:56,-7.7183,-42.7289,90061,2025,87492,544.0,"Piaui, Brazil",2751.443758712732,2.248476032911027
132,132,134,Rio Grande do Norte,Brazil,2020-09-20 04:22:56,-5.4026,-36.9541,66963,2348,39924,24691.0,"Rio Grande do Norte, Brazil",1909.489790418931,3.506413989815272
133,133,135,Rio Grande do Sul,Brazil,2020-09-20 04:22:56,-30.0346,-51.2177,174140,4371,159153,10616.0,"Rio Grande do Sul, Brazil",1530.5998230326354,2.510049385551855
134,134,136,Rio de Janeiro,Brazil,2020-09-20 04:22:56,-22.9068,-43.1729,251261,17634,228258,5369.0,"Rio de Janeiro, Brazil",1455.324816305504,7.018200198200277
135,135,137,Rondonia,Brazil,2020-09-20 04:22:56,-11.5057,-63.5806,62697,1297,52932,8468.0,"Rondonia, Brazil",3527.8031763001313,2.068679522146195
136,136,138,Roraima,Brazil,2020-09-20 04:22:56,-2.7376,-62.0751,48088,613,15164,32311.0,"Roraima, Brazil",7938.444369974297,1.2747462984528364
137,137,139,Santa Catarina,Brazil,2020-09-20 04:22:56,-27.2423,-50.2189,205250,2635,194520,8095.0,"Santa Catarina, Brazil",2864.7044406617474,1.2838002436053593
138,138,140,Sao Paulo,Brazil,2020-09-20 04:22:56,-23.5505,-46.6333,931673,33927,780448,117298.0,"Sao Paulo, Brazil",2028.946636068181,3.641513707062456
139,139,141,Sergipe,Brazil,2020-09-20 04:22:56,-10.5741,-37.3857,75772,1976,68932,4864.0,"Sergipe, Brazil",3296.303643456987,2.6078234704112337
140,140,142,Tocantins,Brazil,2020-09-20 04:22:56,-10.1753,-48.2982,63167,866,45266,17035.0,"Tocantins, Brazil",4016.0445962974595,1.3709690186331471
